Rank,Country,Overall Life,Male Life,Female Life,Continent
66,Saint Lucia,77.8,75,80.7,North America
36,Saint Pierre and Miquelon,80.5,78.2,83,North America
105,Saint Vincent and the Grenadines,75.3,73.3,77.4,North America
128,Samoa,73.7,70.8,76.8,Oceania
5,San Marino,83.3,80.7,86.1,Europe
106,Saudi Arabia,75.3,73.2,77.4,Asia
195,Senegal,61.7,59.7,63.8,Africa
102,Serbia,75.5,72.6,78.5,Europe
116,Seychelles,74.7,70.2,79.4,Africa
204,Sierra Leone,58.2,55.6,60.9,Africa
3,Singapore,85,82.3,87.8,Asia
62,Sint Maarten,78.1,75.8,80.6,North America
76,Slovakia,77.1,73.5,80.9,Europe
60,Slovenia,78.2,74.6,82,Europe
107,Solomon Islands,75.3,72.7,78.1,Oceania
217,Somalia,52.4,50.3,54.5,Africa
189,South Africa,63.1,61.6,64.6,Africa
12,South Korea,82.4,79.3,85.8,Asia
22,Spain,81.7,78.7,84.9,Europe
82,Sri Lanka,76.8,73.3,80.4,Asia
184,Sudan,64.1,62,66.3,Africa
146,Suriname,72.2,69.8,74.8,South America
220,Swaziland,51.6,52.2,51,Africa
16,Sweden,82.1,80.2,84.1,Europe
9,Switzerland,82.6,80.3,85,Europe
113,Syria,74.9,72.5,77.4,Asia
40,Taiwan,80.1,77,83.5,Asia
167,Tajikistan,67.7,64.6,71,Asia
193,Tanzania,62.2,60.8,63.6,Africa
117,Thailand,74.7,71.5,78,Asia
144,The Bahamas,72.4,70,74.8,North America
179,The Gambia,64.9,62.5,67.3,Africa
165,Timor-Leste,68.1,66.5,69.7,Asia
176,Togo,65,62.3,69.7,Africa
89,Tonga,76.2,74.7,77.8,Oceania
137,Trinidad and Tobago,72.9,69.9,75.9,North America
90,Tunisia,76.1,74,78.4,Africa
114,Turkey,74.8,72.5,77.3,Asia
158,Turkmenistan,70.1,67.1,73.3,Asia
42,Turks and Caicos Islands,79.8,77.1,82.7,North America
172,Tuvalu,66.5,64.3,68.8,Oceania
41,U.S. Virgin Islands,80,77,83.2,North America
211,Uganda,55.4,54,56.9,Africa
148,Ukraine,71.8,67.1,76.9,Europe
70,United Arab Emirates,77.5,74.8,80.2,Asia
34,United Kingdom,80.7,78.5,83,Europe
43,United States of America,79.8,77.5,82.1,North America
74,Uruguay,77.2,74.1,80.5,South America
126,Uzbekistan,73.8,70.7,77,Asia
130,Vanuatu,73.4,71.8,75.1,Oceania
95,Venezuela,75.8,72.7,78.9,South America
131,Vietnam,73.4,70.9,76.2,Asia
44,Wallis and Futuna,79.7,76.7,82.8,Oceania
110,West Bank,75,73,77.1,Asia
190,Western Sahara,63,60.7,65.4,Africa
175,Yemen,65.5,63.4,67.8,Asia
216,Zambia,52.5,50.8,54.1,Africa
205,Zimbabwe,58,57.3,58.7,Africa
